asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,high_yield,low_yield,close_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,“220210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",104,104,104,104,2.4141,2.4141,2.4141,2.4141,,0,,,,,,
BOND,XBOND,“190210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",107.3894,107.3894,107.3894,107.3894,2.0448,2.0448,2.0448,2.0448,,0,,,,,,
BOND,XBOND,“190210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",107.1666,107.1666,107.1666,107.1666,2.0915,2.0915,2.0915,2.0915,,0,,,,,,
BOND,XBOND,“180210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“190210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",107.278,107.278,107.278,107.278,2.0682,2.0682,2.0682,2.0682,,0,,,,,,
BOND,XBOND,“180210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“180210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210215“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220205“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",105.2659,105.2659,105.2659,105.2659,2.2284,2.2284,2.2284,2.2284,,0,,,,,,
BOND,XBOND,“210215“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220205“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",105.1541,105.1541,105.1541,105.1541,2.2442,2.2442,2.2442,2.2442,,0,,,,,,
BOND,XBOND,“160010“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210215“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",103.4951,103.4951,103.4951,103.4951,2.3,2.3,2.3,2.3,,0,,,,,,
BOND,XBOND,“160010“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
