code,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_yield1,ask_yield2,ask_yield3,ask_yield4,ask_yield5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_yield1,bid_yield2,bid_yield3,bid_yield4,bid_yield5,clearMethod,deliveryType,dataSource,settle_type,recv_time,source_time,is_inversion,is_unilateral,is_vacuum,is_spike
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:42:33	","	2024-07-16 19:42:33	",0,0,1,0
180011,10000000,,,,,103.4585,,,,,2.733,,,,,100000000,10000000,,,,103.4412,103.4319,,,,2.7377,2.7402,,,,,,XBOND,T1,"	2024-07-16 19:42:24	","	2024-07-16 19:42:24	",0,0,0,0
220220,200000000,300000000,,,,103.6876,104.0086,,,,2.275,2.233,,,,20000000,30000000,90000000,,,102.0,100.0,98.0,,,2.4984,2.769,3.0461,,,,,XBOND,T1,"	2024-07-16 19:41:42	","	2024-07-16 19:41:41	",0,0,0,1
180210,,,,,,,,,,,,,,,,50000000,,,,,101.783,,,,,3.55,,,,,,,XBOND,T1,"	2024-07-16 19:40:36	","	2024-07-16 19:40:36	",0,1,0,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:40:21	","	2024-07-16 19:40:21	",0,0,0,0
180011,10000000,,,,,103.4585,,,,,2.733,,,,,10000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:40:20	","	2024-07-16 19:40:20	",0,0,0,0
220220,200000000,300000000,,,,103.6876,104.0086,,,,2.275,2.233,,,,30000000,90000000,,,,100.0,98.0,,,,2.769,3.0461,,,,,,XBOND,T1,"	2024-07-16 19:40:18	","	2024-07-16 19:40:18	",0,0,0,1
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:40:10	","	2024-07-16 19:40:10	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:40:09	","	2024-07-16 19:40:09	",0,0,1,0
180210,30000000,,,,,103.0046,,,,,3.2211,,,,,50000000,,,,,101.783,,,,,3.55,,,,,,,XBOND,T1,"	2024-07-16 19:39:17	","	2024-07-16 19:39:17	",0,0,0,0
220220,200000000,300000000,,,,103.6876,104.0086,,,,2.275,2.233,,,,90000000,,,,,98.0,,,,,3.0461,,,,,,,XBOND,T1,"	2024-07-16 19:39:15	","	2024-07-16 19:39:15	",0,0,0,1
220220,200000000,300000000,,,,103.6876,104.0086,,,,2.275,2.233,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:38:57	","	2024-07-16 19:38:57	",0,1,0,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:38:56	","	2024-07-16 19:38:56	",0,0,0,0
180011,120000000,,,,,103.4585,,,,,2.733,,,,,100000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:38:55	","	2024-07-16 19:38:55	",0,0,0,0
180210,,,,,,,,,,,,,,,,10000000,50000000,,,,103.1211,101.783,,,,3.19,3.55,,,,,,XBOND,T1,"	2024-07-16 19:38:49	","	2024-07-16 19:38:49	",0,1,0,0
180210,30000000,,,,,103.4171,,,,,3.1112,,,,,10000000,50000000,,,,103.1211,101.783,,,,3.19,3.55,,,,,,XBOND,T1,"	2024-07-16 19:38:16	","	2024-07-16 19:38:16	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:36:41	","	2024-07-16 19:36:41	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:36:40	","	2024-07-16 19:36:40	",0,0,1,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:36:40	","	2024-07-16 19:36:40	",0,0,0,0
180011,20000000,,,,,103.4585,,,,,2.733,,,,,20000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:36:39	","	2024-07-16 19:36:39	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:35:20	","	2024-07-16 19:35:20	",0,0,0,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:35:19	","	2024-07-16 19:35:19	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:35:19	","	2024-07-16 19:35:19	",0,0,1,0
180011,20000000,,,,,103.4585,,,,,2.733,,,,,20000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:35:18	","	2024-07-16 19:35:18	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:34:59	","	2024-07-16 19:34:59	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:34:58	","	2024-07-16 19:34:58	",0,0,1,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:34:58	","	2024-07-16 19:34:58	",0,0,0,0
180011,50000000,,,,,103.4585,,,,,2.733,,,,,50000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:34:57	","	2024-07-16 19:34:57	",0,0,0,0
180210,,,,,,,,,,,,,,,,10000000,50000000,,,,103.1211,101.783,,,,3.19,3.55,,,,,,XBOND,T1,"	2024-07-16 19:34:48	","	2024-07-16 19:34:47	",0,1,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:34:39	","	2024-07-16 19:34:38	",0,0,0,0
170010,,,,,,,,,,,,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:34:38	","	2024-07-16 19:34:37	",0,1,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:34:37	","	2024-07-16 19:34:36	",0,0,1,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:34:37	","	2024-07-16 19:34:36	",1,0,0,0
180011,50000000,,,,,103.4585,,,,,2.733,,,,,50000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:34:36	","	2024-07-16 19:34:35	",0,0,0,0
